弹幕,重复次数
保护海洋保护海洋保护海洋保护海洋保护海洋,76.0
太坏了,75.0
保护海洋环境,75.0
气死了,75.0
一丘之貉,75.0
环保少女呢？,75.0
大核冥族,75.0
呵,75.0
明白人,75.0
坚决抵制排放核污水,75.0
保护海洋，保护地球！！,75.0
坚决抵制核污水排海！,74.0
阿古茹！！,73.0
见证历史 ,72.0
慎,72.0
对,72.0
害怕,72.0
保护海洋！！！！！！！！！,72.0
世界可以没有日本，但是不能没有海洋,72.0
抵制日本核污水排海,71.0
危,71.0
英雄,70.0
保护地球！！,70.0
阿古茹！,70.0
预告片,70.0
啊这,70.0
3000+,70.0
真贱啊,70.0
《科学》,70.0
保护海洋!保护地球!,70.0
拿什么负责,70.0
泪目,69.0
哈哈,69.0
保护我们的海洋！,69.0
66666,69.0
牛啊,68.0
好家伙,68.0
地球可以没有日本，但不能没有海洋！,68.0
保护人类未来！,66.0
保护海洋生态,66.0
。。。,66.0
同意,66.0
+,66.0
地球是我们人类唯一的家园！！！,66.0
哦,65.0
保护海洋！保护地球环境！,65.0
理解叶文洁,65.0
死,65.0
怎么负责？,64.0
赞成,64.0
真正的武士,64.0
初生,64.0
主角登场,64.0
不买日本的任何商品，我们可以做到的,64.0
抵制抵制,64.0
已经结束啦,64.0
私密马赛,64.0
这。。。,64.0
不要脸,64.0
把日本炸了,64.0
狗东西,64.0
已经结束了,64.0
中韩友谊靠日本,64.0
《符合》,64.0
天理难容！！！！,64.0
《许多》,64.0
加热度,64.0
蛇鼠一窝,64.0
保护海洋生态，保护地球,64.0
地球可以没有日本，但是绝对不能没有海洋！！！,64.0
阿古茹,64.0
《央视新闻》,64.0
沆瀣一气,64.0
保护世界！！保护海洋！！！,64.0
天啊,64.0
出生登场,64.0
保护海洋，保护地球！！！！！！！,64.0
保护海洋! 保护家园! 保护海洋! 保护家园! 保护海洋! 保护家园! 保护海洋! 保护家园!,63.0
地球可以没有日本，但是不能没有海洋,63.0
都是老年人,63.0
反对不一定有用，但不反对就等同默认和纵容,63.0
保护地球！！！！！,63.0
卧槽……,62.0
我们联合！！！,62.0
坚决抵制，保护海洋！,62.0
上热门！！！！！！,61.0
福光岛,61.0
氢弹,60.0
干它,60.0
日本鬼子,60.0
恶魔,60.0
骗子,60.0
“人类补完计划”,60.0
保护海洋！！保护地球！！！,60.0
毁灭吧,60.0
——赤裸裸的荼毒涂炭、赤裸裸的毁灭灭绝！,60.0
已经结束咧！,59.0
哈哈哈哈哈哈哈哈,59.0
历史罪人,59.0
大家一起来补完,59.0
迪迦,59.0
罄竹难书,59.0
该,59.0
坚决抵制日本核污染水排海,59.0
《理解》,59.0
一个人的沉默，叫“思考”，一群人的沉默，叫“冷漠”，所有人的沉默，叫“黑暗”，不要以为你的声音，无关紧要，每一个人都发声，世界就会得到光明​,59.0
保护海洋！保护地球！！,58.0
命运的齿轮开始转动,58.0
主线任务：活下去,57.0
？？？？？？？？？,57.0
两面包夹芝士,57.0
海的那边是敌人,57.0
世界人民永远都不会忘记这沉痛的一天！,57.0
世界不需要日本！！！,57.0
红色海洋,57.0
开战,57.0
180？,57.0
如果把洋流比作水管，水管会不会破？鱼会不会游？,57.0
没绷住,54.0
真该死啊,54.0
..,54.0
掩耳盗铃，自欺欺人,54.0
最正义的一集,54.0
看完,54.0
关键字 成本,54.0
30年？！,54.0
认真看,54.0
贱！！！,54.0
众所周知，日本发明了最先进的核污染水处理技术， 世界应该向日本学习,54.0
保护海洋！！保护地球！！！保护海洋！！保护地球！！！保护海洋！！保护地球！！！保护海洋！！保护地球！！！保护海洋！！保护地球！！！保护海洋！！保护地球！！！保护海洋！！保护地球！！！保护海洋！！保护地,54.0
《基本达到》,54.0
《智慧》,54.0
hhhh,54.0
见证历史！！！,54.0
日本水,54.0
付得起吗,54.0
初生啊,54.0
一坤年,54.0
三得利乌龙茶,54.0
科学,54.0
顶上热门，顶上热门!,54.0
太可怕了,54.0
开战吧,54.0
召唤奥特曼,54.0
！,54.0
30年,53.0
气死,53.0
该死的日本！,53.0
可悲,53.0
环太平洋,52.0
支持支持支持！！！,52.0
爆杀,51.0
保护海洋！保护人类！,51.0
注意安全呀！！！,51.0
好漂亮,51.0
保护好自己,51.0
弹幕大军呢,50.0
日本首相这是在造大孽啊,50.0
环保少女出来挨打,50.0
谴责没用的,50.0
因为美国早就排了,50.0
没本事少说话,50.0
抵制！,50.0
环保少女就是个笑话,50.0
环保少女过来艾草,50.0
现在是收复日本的好时候,50.0
不是还有韩国啦,50.0
没本事少bb,50.0
何时开民智？,50.0
韩国,50.0
这播放量怎么回事,50.0
反对的国家也挺多的 德国好像就反对来着,50.0
B站股东是哪的别忘了，就这热度,50.0
漂亮国需要更多长期用药的癌症,50.0
加大力度,50.0
还有谁！！！,50.0
哎，除了说说还能做啥，反正人家不要脸，随便说,50.0
美国之所以同意，因为美国也在排放,50.0
美国下面的狗都支持,50.0
也就美国这个出生会赞成了,50.0
韩国民众反对得挺厉害,50.0
米国,50.0
美国嘴巴肯定，然后进口日本产品一直在减少,50.0
你是会配BGM的~,49.0
