弹幕,重复次数
大伙儿都听听，这说的是人话吗,111.0
因为是无底洞,111.0
看到的好兄弟点个赞,111.0
没用！ 日本禁止取样检测！ 日本不给任何其他国家组织直接取样检测！ ,111.0
但是不管怎么稀释，核污染料的总量不会变啊,111.0
在,111.0
又没良知，还没智慧。,111.0
国际原子能机构不是直接取样！ 是日本送的样本！ 而且数据也是日本提供的！都不是直接取样！,111.0
记者姐姐好厉害，会说好几种外语,111.0
仅仅是日本政府和东电公司决定的吗？,111.0
严重怀疑直接换成了饮用水,111.0
没翻出来的一句话：也就是说日本人所谓的“死之灰”（原子灰）,111.0
日本食品一律不吃,111.0
原来你想到了啊,111.0
原来你是原罪之一,111.0
一言堂,111.0
安静看中,111.0
伤心,111.0
事实证明日本专家都懂。这种事对本国民众的损害也是最大的啊,111.0
丧尽天良的小日子,111.0
没良知，无智慧,111.0
记住这个人,111.0
记住这个b,111.0
传统技能经常撒谎。谁还记得日本有企业产品不合格谎报的先例,111.0
在大气层 引爆几颗 枯弹 把大气层污染  全玩完算球 你污染水   我污染空气  全完蛋算球,111.0
没问题.......没发现肯定没问题啊，等他们发现了都坏了多久了,111.0
好嘛....前几天还在想我下本新书写什么主题，这素材就来了,111.0
在看,111.0
在看呢， 比较严肃的话题，不想乱BB而已,111.0
不是现在才开始排，早在10年前就漏了,111.0
看的认真,111.0
但...没人在乎他们,111.0
但不是都会进水里,111.0
每人每天1升就喝完了,111.0
让全球为它买单,111.0
看完了 心情很沉重,111.0
一无良知二无智慧,111.0
但排海的公关费就花了700亿,111.0
不是都达到饮用水的标准了 为什么不给自己人吃呢,111.0
看完了，也完了,111.0
他们自己都不敢喝，,111.0
固化填埋应该是影响最小的,111.0
看左下角啊，有写着同时多少人在看的,111.0
书面承诺，真有你的,111.0
原来你也知道,111.0
固化填埋！！,111.0
但我感觉这么说的话，机器确实很有效，但是能处理的完吗？,111.0
他们觉得成本重于社会影响是吧？,111.0
日本还有啥声誉可言？兽名在外,111.0
但凡东电愿意拼一下，堆芯也不至于烧成那样,111.0
国外很多人都还不知道这件事,111.0
但其实花费是最多的，隐形成本是那笔帐的十几倍多。,111.0
物质的量是不变的，只是加的水多了，显得浓度低了，抛开总量谈浓度，不是耍流氓吗,111.0
记者确实厉害双语并且还有专业名词,111.0
但仍然是米,111.0
原来你们知道啊,111.0
记者小姐姐英语比日语流利,111.0
每天还在产生100dun q,111.0
作为记者英语肯定是必须的，然后作为驻日记者日语肯定也是要熟练的,111.0
到哪里苦的都是老百姓……,111.0
现在日本岛永远不可能复兴，环境会越来越差，生物不变异会越来越没法生存,111.0
水颜色都不对劲了,111.0
对啊就是这个意思,111.0
《足够低》,111.0
《足够低了》,111.0
好熟悉的话术，我这是在看是大臣日本版吗？,111.0
你又在说些什么玩意？!,111.0
为啥满头大汗呢？很热吗?,111.0
对啊 滤芯更换是个问题啊,111.0
历史给的答案，也是令人痛心的答案,111.0
给我气笑了,111.0
日本小老太太都稀释没改变核污染物总量,111.0
你别说话了!,111.0
别放屁了,111.0
主义核素不等于元素周期表里面的元素,111.0
水我已经处理了，合不合格就不好说了,111.0
主动收藏分享点赞的视频,111.0
病毒和污水肆虐，真的能活到退休吗…,111.0
啊？啊？啊？,111.0
《过滤》,111.0
《过滤》《稀释》,111.0
日本居民也是tmd倒霉,111.0
水平太次,111.0
为什么不是全球国家，而是周边国家,111.0
不能,111.0
你信日本的诺言不如信我是秦始皇,111.0
给人的感觉就是不确定的口气,111.0
日本它一心只为了甩开这个责任了，不会去管这么做带来的危害,111.0
没事 鞠躬就好了,111.0
为什么记者提问说的是处理水，不直接说污染水，字幕又写是污染水，欺负听不懂?,111.0
为什么没人弹幕,111.0
日本人自己的记着都看不下去了，日本政府到底在干什么啊,111.0
没一个好主意，有更好的解决方案不用非要破坏环境，怎么不采纳别国建议啊,111.0
纯粹就是放屁,111.0
细节双引号,111.0
终于以后可以选择吃核污染海鲜喝大便水了,111.0
日本人还真敢喝，毕竟全世界以切腹为荣的也就这群奇葩,111.0
日本人长寿是事实,111.0
为什么要一直冷却呢？,111.0
你居然不点赞？,111.0
用了一坤年的时间讨论出了排海这个解决方案,111.0
日本仔自己的科学家都说有问题，日本政府还要排海,111.0
大叔是个可怜人，可惜他的国家背叛了他们，背叛了全世界,111.0
赖以活命的生计都被毁了,111.0
终究是普通人遭罪啊,111.0
为什么只能投一个硬币？,111.0
贱坯子,111.0
日本典型的表面匠人作风,111.0
为什么这个2B能笑的这么开心啊，想揍他,111.0
结合之前那人说的“所以我们的判断不会因为民众的想法而改变”，真是让人愤怒,111.0
对啊，现在干这事的老东西过段时间都挂了，剩下的污染就只能后代承担,111.0
电解应该算是最优的,111.0
对啊，治标要治本,111.0
啊，我这边有2.4个币，为什么投币的选项只有投一个币？,111.0
从原理上就很困难,111.0
你们这些老东西，都快入土了，就不管地球以后长久的发展了呗,111.0
管你那么多稀释就能喝,111.0
用海水稀释然后排到海里,111.0
不止日本，我连国产的海产品都不敢碰了,111.0
主要是冷却核废料的成本高，排冷却水不需要冷却核废料。,111.0
你也知道啊，王八犊子!,111.0
你也知道啊,111.0
氚水不符合事实因为里面除了氚还有好多其它元素doge,111.0
你个死扑街，量小，排30年，你说没事？,111.0
大家很关注这件事情，确实关心到子孙后代,111.0
历史永远不会忘记,111.0
加海水稀释排入海洋和直接排有区别啊 掩耳盗铃罢了 ,111.0
说虚心话和说良心话的人排在一起就很讽刺哈哈哈哈,111.0
历史会给出最后的答案,111.0
之前凤凰卫视也采访过这位老人，地震里失去了弟弟和屋子，家人也只能出去打零工，真的很可怜,111.0
家人们谁懂啊好气啊这几句,111.0
他们把科学当初政治的工具，也就站在了崇尚科学者的对立面,111.0
一个核弹能解决的事情，搞这么复杂,111.0
缓兵之计,111.0
说的很清楚了,111.0
编，继续编,111.0
目前来看这位专家还是比较客观的，暂时先别乱喷,111.0
因为成本低，同时不用东电一家承担损失，小日子觉得可划算了,111.0
管理怎么了？很麻烦吗，总比入海好吧,111.0
他们有良知吗？,111.0
直接放进自来水管里用掉不就好了吗,111.0
煎 役 萎,111.0
一人每天18公斤海鲜很难吗？,111.0
主要内容总结,111.0
日本有国际声誉吗？,111.0
不能，不同意排海,111.0
嗑学、寄术,111.0
你们自己信吗,111.0
没人吗,111.0
日本政府:我已经解释过了，我不会听，什么也不会改变我排海的决心,111.0
富集化,111.0
好直接，点明了,111.0
绝对是c4,111.0
《饮用水》,111.0
发布全面制裁八嘎的声明吧,111.0
《高见》,111.0
你们是不是对公开有什么误解,111.0
日本政府和东电还有国际声誉啊，我家狗都不信,111.0
日本政府和日本民众不是一个物种,111.0
日本是既无智慧也无良知,111.0
没发现=没问题？,111.0
百万配音,111.0
继续存的风险很大，是定时炸弹，出新的地震海啸怎么办？还是要尽快处理掉,111.0
不能（即答）,111.0
别结巴啊，你自己说的话你自己信吗,111.0
日本政府极度自私,111.0
日本政府第一原罪,111.0
日本政府谎话连篇,111.0
日本无耻至极，极端自私自利！,111.0
日本是个海岛国，却污染和破坏了海洋，终究会自食其果,111.0
你以为他们是不知道？就是装傻而已,111.0
不是没翻吧，是日语语序有点灵活，按照中文的语序的话嘴型说话长度这些都是对不上的。,111.0
老百姓都懂的道理,111.0
好勇敢,111.0
游客：你们的绳子什么时候换啊？蹦极安全员：断了就换。,111.0
半衰期啊，减少到一半需要这么多年,111.0
硬画饼,111.0
有这先例以后出事故都排海,111.0
去柠檬,111.0
以前已经做过了？,111.0
不会就只有这2000吨是达标的吧？,111.0
不会忘记 不可能忘记,111.0
处理完不用检测了，给负责人喝就行了,111.0
太长了,111.0
不会忘记的,111.0
以前已经做过了,111.0
半句不提那几个毒性大的,111.0
不懂就问：这些核污染会跟着水循环进入陆地吗？,111.0
良知在前，记住要考,111.0
良心大大滴坏,111.0
舆论公关费 远超 排海成本呵呵哒,111.0
核污水好评,111.0
姐姐语言能力顶顶,111.0
不愿承受代价,111.0
如果日本有人敢换，当年的事故就不会这么严重了,111.0
处理不过来就加设备啊,111.0
碳14够低，就是其他也够低是吧？都是机会,111.0
自说自话，有可能作假啊，应该交给第三方检测的,111.0
空头支票,111.0
前面的是九漏鱼吗，这个人就是说排海是不合理的呀,111.0
破旧的xmuahu,111.0
翻译：我们考虑了很多安全的处理方法，最终我们决定排到海里,111.0
花700亿公关舆论都不愿花300亿处理水，真不是人,111.0
苦了人民了,111.0
有是一回事但是认不认真搞又是另一回事啊,111.0
核素不是根据元素表里来的么,111.0
美国：没事没事随便排  ,111.0
有智慧有良知的人,111.0
原设计在25M高悬崖上的，结果一切再切低于15M，谁想海啸正好15M，呵呵,111.0
你态度都不明确，你处理啥了？,111.0
渔民肯定都害怕,111.0
存起来风险高，，，所以要排到海里，，可太秀了吧,111.0
核电成本研究，难蚌,111.0
核电仙人,111.0
英语比日语口语好好多,111.0
知小礼而轻大义,111.0
翻译：我们排我们的核污染水，干你m屁事！,111.0
知道但就是找借口不干,111.0
